1998.8,3.992,1.1974,1.688,1.5195
1999,-4.1258,-1.8642,-2.2089,-3.1721
1999.2,1.3356,1.5984,1.9496,2.7928
1999.5,-1.2018,-0.93163,-1.0386,-1.6479
1999.8,0,0.93163,0.64946,1.2682
2000,-2.5491,-2.2663,-2.7348,-2.7954
2000.2,0.94102,1.3347,0.91369,1.6542
2000.5,-0.94102,-0.9338,-1.3059,-1.0172
2000.8,-0.53872,-0.93599,-0.7856,-1.0198
2001,-1.2148,-2.8212,-2.8938,-3.8474
2001.2,-0.27045,1.0771,1.0547,1.8001
2001.5,-1.0836,-0.80754,-0.79077,-0.64195
2001.8,-1.4948,-0.6742,-0.66018,-0.7717
2002,-2.8694,-2.7082,-2.7847,-3.751
2002.2,1.7787,0.81439,1.3285,1.5564
2002.5,-0.68318,-0.95028,-1.0624,-0.64777
2002.8,-0.41047,-0.40796,-0.26605,-0.2594
2003,-1.6461,-2.3196,-2.6702,-2.9953
2003.2,1.783,2.0474,1.871,2.6059
2003.5,-0.68481,0.13612,0.26658,0.38942
2003.8,-0.68599,0.13608,0.13322,-0.77922
2004,-0.96237,-2.5934,-2.5388,-3.7878
2004.2,1.0997,1.5035,1.3382,1.7024
2004.5,0.13724,0.40907,-0.401,0
2004.8,1.7799,0,-0.26756,-0.39222
2005,-2.8792,-2.1865,-2.2815,-2.6247
2005.2,0.55002,1.641,1.3436,1.708
2005.5,-0.68764,-0.27304,-0.94007,-0.65606
2005.8,0,0.27304,-0.13448,-0.26273
2006,-0.41315,-1.641,-2.6991,-3.0338
2006.2,1.7873,1.7775,1.6216,1.9812
2006.5,1.0959,0.54533,0,-0.26359
2006.8,-1.0959,-0.13626,0.26963,0.13182
2007,-2.2008,-2.7351,-2.2977,-3.0428
2007.2,1.9264,1.9165,1.4882,1.9871
2007.5,0.82276,0.54589,-0.13507,-0.39663
2007.8,1.6405,1.9048,0.94451,0.79286
2008,-0.40949,-0.4074,-1.0796,-2.5161
2008.2,3.3996,3.3824,3.0961,1.9877
2008.5,3.7736,4.2881,1.4723,0.26429
2008.8,-2.6918,-3.3462,0.8008,0.52805
2009,-5.0281,-4.4603,-2.9441,-3.578
2009.2,0,-0.13594,0.26855,0.665
2009.5,-1.2327,-1.3619,-1.2099,-1.3311
2009.8,-2.0629,-0.81939,-0.67374,-0.13336
2010,-0.13791,-1.5066,-2.2992,-2.5422
2010.2,0.41358,-0.41188,-1.2226,-1.2099
2010.5,-2.2107,-1.9277,-2.1828,-2.5663
2010.8,0.83045,0.55172,0.68341,1.0825
2011,-1.1077,-1.3807,-2.191,-2.7119
2011.2,0.96936,1.9317,0.68599,0.54385
2011.5,-0.13834,-0.41315,-0.82333,-0.81605
2011.8,-0.9697,-0.82759,-0.82503,-1.2272
2012,1.3846,-0.41444,-0.68882,-0.9571
2012.2,0.27634,1.5175,0.82645,1.0936
2012.5,-2.355,-1.2412,-0.96435,-1.2306
2012.8,-0.27797,-0.27634,-0.96668,-0.95973
2013,-0.27816,-1.2459,-1.8015,-2.0643
2013.2,1.8046,2.7634,2.2161,2.613
2013.5,2.21,1.6489,0.27615,0.27407
2013.8,2.0608,1.2322,1.2403,1.0944
2014,0,-0.5472,-0.55077,-1.3685
2014.2,9.8804,10.538,9.6653,8.9465
2014.5,1.3347,1.1982,0.53763,0.40194
2014.8,-1.201,-0.53209,0.67103,0.40154
2015,-0.80268,-2.4032,-0.53673,-1.0717
2015.2,2.8023,2.6693,2.6765,2.4072
2015.5,-0.26605,-0.53245,0.93256,0.66611
2015.8,-0.93256,-0.13322,1.1958,0.9307
2016,-1.4699,-2.4056,-1.0628,-1.7302
2016.2,1.3365,1.4718,1.858,2.3936
2016.5,-0.93505,-0.93599,-0.52998,-0.79628
2016.8,2.4,0.80241,0.52998,0.53103
2017,-1.5984,-0.53476,-1.4591,-2.5287
2017.2,1.5984,2.1348,1.5915,1.8648
2017.5,0,0.13305,0,-0.13291
2017.8,2.3857,1.7256,1.0575,1.0621
2018,1.1875,-0.53015,-0.92516,-1.7273
2018.2,-1.0554,1.7204,0.92516,1.1966
